WORD,UK PRONUNCIATION,US PRONUNCIATION,URL,TRANSLATE
a,[ə; eɪ],[ə; eɪ],https://dict.youdao.com/w/eng/a/#keyfrom=dict2,art.一个
A.D.,,,https://dict.youdao.com/w/eng/A.D./#keyfrom=dict2,(缩)公元
A.M.,[ˌeɪ ˈem],,https://dict.youdao.com/w/eng/A.M./#keyfrom=dict2,(缩)上午
abandon,[əˈbændən],[əˈbændən],https://dict.youdao.com/w/eng/abandon/#keyfrom=dict2,v.抛弃，放弃
abandonment,[əˈbændənmənt],[əˈbændənmənt],https://dict.youdao.com/w/eng/abandonment/#keyfrom=dict2,n.放弃
abasement,[əˈbeɪsmənt],[əˈbeɪsmənt],https://dict.youdao.com/w/eng/abasement/#keyfrom=dict2,n.滥用
abbreviation,[əˌbriːviˈeɪʃn],[əˌbriːviˈeɪʃn],https://dict.youdao.com/w/eng/abbreviation/#keyfrom=dict2,n.缩写，缩写词
abeyance,[əˈbeɪəns],[əˈbeɪəns],https://dict.youdao.com/w/eng/abeyance/#keyfrom=dict2,n.缓办，中止
abide,[əˈbaɪd],[əˈbaɪd],https://dict.youdao.com/w/eng/abide/#keyfrom=dict2,v.遵守
ability,[əˈbɪləti],[əˈbɪləti],https://dict.youdao.com/w/eng/ability/#keyfrom=dict2,n.能力
able,[ˈeɪb(ə)l],[ˈeɪb(ə)l],https://dict.youdao.com/w/eng/able/#keyfrom=dict2,adj.有能力的，能干的
abnormal,[æbˈnɔːm(ə)l],[æbˈnɔːrm(ə)l],https://dict.youdao.com/w/eng/abnormal/#keyfrom=dict2,adj.反常的，变态的
aboard,[əˈbɔːd],[əˈbɔːrd],https://dict.youdao.com/w/eng/aboard/#keyfrom=dict2,adv.船(车)上
abolish,[əˈbɒlɪʃ],[əˈbɑːlɪʃ],https://dict.youdao.com/w/eng/abolish/#keyfrom=dict2,v.废除，取消
abolition,[ˌæbəˈlɪʃ(ə)n],[ˌæbəˈlɪʃ(ə)n],https://dict.youdao.com/w/eng/abolition/#keyfrom=dict2,n.废除，取消
abortion,[əˈbɔːʃn],[əˈbɔːrʃ(ə)n],https://dict.youdao.com/w/eng/abortion/#keyfrom=dict2,n.流产
abortive,[əˈbɔːtɪv],[əˈbɔːrtɪv],https://dict.youdao.com/w/eng/abortive/#keyfrom=dict2,adj.无效果的，失败的
about,[əˈbaʊt],[əˈbaʊt],https://dict.youdao.com/w/eng/about/#keyfrom=dict2,prep.关于，大约
above,[əˈbʌv],[əˈbʌv],https://dict.youdao.com/w/eng/above/#keyfrom=dict2,prep.在之上，高于
above-mentioned,[əˌbʌv ˈmenʃnd],[əˌbʌv ˈmenʃnd],https://dict.youdao.com/w/eng/above-mentioned/#keyfrom=dict2,adj.上述的
abreast,[əˈbrest],[əˈbrest],https://dict.youdao.com/w/eng/abreast/#keyfrom=dict2,adv.并肩，并列
abridge,[əˈbrɪdʒ],[əˈbrɪdʒ],https://dict.youdao.com/w/eng/abridge/#keyfrom=dict2,v.省略，摘要
abroad,[əˈbrɔːd],[əˈbrɔːd],https://dict.youdao.com/w/eng/abroad/#keyfrom=dict2,adv.国外，海外
abrogate,[ˈæbrəɡeɪt],[ˈæbrəɡeɪt],https://dict.youdao.com/w/eng/abrogate/#keyfrom=dict2,v.取消，废除
abrogation,[ˌæbrəˈɡeɪʃn],[ˌæbrəˈɡeɪʃn],https://dict.youdao.com/w/eng/abrogation/#keyfrom=dict2,n.取消，废除
abrupt,[əˈbrʌpt],[əˈbrʌpt],https://dict.youdao.com/w/eng/abrupt/#keyfrom=dict2,adj.突然的，生硬的
abruptly,[əˈbrʌptli],[əˈbrʌptli],https://dict.youdao.com/w/eng/abruptly/#keyfrom=dict2,adv.突然地
absence,[ˈæbsəns],[ˈæbsəns],https://dict.youdao.com/w/eng/absence/#keyfrom=dict2,n.缺席，缺乏
absent,[ˈæbsənt],[ˈæbsənt],https://dict.youdao.com/w/eng/absent/#keyfrom=dict2,adj.缺席的，不存在
absent-minded,[ˌæbsənt ˈmaɪndɪd],[ˌæbsənt ˈmaɪndɪd],https://dict.youdao.com/w/eng/absent-minded/#keyfrom=dict2,adj.心不在焉的
absolute,[ˈæbsəluːt],[ˈæbsəluːt],https://dict.youdao.com/w/eng/absolute/#keyfrom=dict2,adj.完全的，绝对的
