KEYWORD,UK PRONUNCIATION,US PRONUNCIATION,URL
A,[eɪ],[eɪ],https://dict.youdao.com/w/eng/A/#keyfrom=dict2
ago,[əˈɡəʊ],[əˈɡoʊ],https://dict.youdao.com/w/eng/ago/#keyfrom=dict2
B,[biː],[biː],https://dict.youdao.com/w/eng/B/#keyfrom=dict2
baby,[ˈbeɪbi],[ˈbeɪbi],https://dict.youdao.com/w/eng/baby/#keyfrom=dict2
bag,[bæɡ],[bæɡ],https://dict.youdao.com/w/eng/bag/#keyfrom=dict2
bed,[bed],[bed],https://dict.youdao.com/w/eng/bed/#keyfrom=dict2
bid,[bɪd],[bɪd],https://dict.youdao.com/w/eng/bid/#keyfrom=dict2
bird,[bɜːd],[bɜːrd],https://dict.youdao.com/w/eng/bird/#keyfrom=dict2
bit,[bɪt],[bɪt],https://dict.youdao.com/w/eng/bit/#keyfrom=dict2
bitch,[bɪtʃ],[bɪtʃ],https://dict.youdao.com/w/eng/bitch/#keyfrom=dict2
bus,[bʌs],[bʌs],https://dict.youdao.com/w/eng/bus/#keyfrom=dict2
C,[siː],[siː],https://dict.youdao.com/w/eng/C/#keyfrom=dict2
Cindy,[ˈsɪndi],[ˈsɪndi],https://dict.youdao.com/w/eng/Cindy/#keyfrom=dict2
city,[ˈsɪti],[ˈsɪti],https://dict.youdao.com/w/eng/city/#keyfrom=dict2
D,[diː],[diː],https://dict.youdao.com/w/eng/D/#keyfrom=dict2
E,[iː],[iː],https://dict.youdao.com/w/eng/E/#keyfrom=dict2
eat,[iːt],[iːt],https://dict.youdao.com/w/eng/eat/#keyfrom=dict2
F,[ef],[ef],https://dict.youdao.com/w/eng/F/#keyfrom=dict2
fit,[fɪt],[fɪt],https://dict.youdao.com/w/eng/fit/#keyfrom=dict2
fuck,[fʌk],[fʌk],https://dict.youdao.com/w/eng/fuck/#keyfrom=dict2
G,[dʒiː],[dʒiː],https://dict.youdao.com/w/eng/G/#keyfrom=dict2
give,[ɡɪv],[ɡɪv],https://dict.youdao.com/w/eng/give/#keyfrom=dict2
H,[eɪtʃ],[eɪtʃ],https://dict.youdao.com/w/eng/H/#keyfrom=dict2
heat,[hiːt],[hiːt],https://dict.youdao.com/w/eng/heat/#keyfrom=dict2
hit,[hɪt],[hɪt],https://dict.youdao.com/w/eng/hit/#keyfrom=dict2
I,[aɪ],[aɪ],https://dict.youdao.com/w/eng/I/#keyfrom=dict2
international,[ˌɪntəˈnæʃ(ə)nəl],[ˌɪntərˈnæʃnəl],https://dict.youdao.com/w/eng/international/#keyfrom=dict2
it,[ɪt],[ɪt],https://dict.youdao.com/w/eng/it/#keyfrom=dict2
J,[dʒeɪ],[dʒeɪ],https://dict.youdao.com/w/eng/J/#keyfrom=dict2
K,[keɪ],[keɪ],https://dict.youdao.com/w/eng/K/#keyfrom=dict2
L,[el],[el],https://dict.youdao.com/w/eng/L/#keyfrom=dict2
lake,[leɪk],[leɪk],https://dict.youdao.com/w/eng/lake/#keyfrom=dict2
later,[ˈleɪtə(r)],[ˈleɪtər],https://dict.youdao.com/w/eng/later/#keyfrom=dict2
let,[let],[let],https://dict.youdao.com/w/eng/let/#keyfrom=dict2
letter,[ˈletə(r)],[ˈletər],https://dict.youdao.com/w/eng/letter/#keyfrom=dict2
lever,[ˈliːvə(r)],[ˈlevər],https://dict.youdao.com/w/eng/lever/#keyfrom=dict2
litter,[ˈlɪtə(r)],[ˈlɪtər],https://dict.youdao.com/w/eng/litter/#keyfrom=dict2
